zipcode,homeType,yearBuilt,lotAreaValue,livingAreaValue,bedrooms,bathrooms,stories,hasFireplace,taxAssessedValue,rentZestimate,price,parkingCapacity,hasCooling,hasHeating,hasPrivatePool,hasSpa,hasView,log_lotAreaValue,log_livingAreaValue,log_price,log_taxAssessedValue
90210,0,2009,1041.815611570248,596.901775,5,7.0,1.0,0,6914195.0,35850.0,36000,7,1,1,0,0,1,3.017790861032955,2.7759028703501416,4.556302500767287,6.839741623720959
90044,3,2008,483.281406,78.410132,2,1.0,1.0,0,909309.0,2585.0,44500,0,0,0,0,0,0,2.684200086206664,1.8943721849724648,4.648360010980932,5.958711489592722
91352,0,1943,535.957407,107.210062,3,1.0,1.0,0,719100.0,4140.0,124000,2,0,1,0,0,1,2.729130277304952,2.030235547166522,5.093421685162235,5.856789288753316
91605,4,1990,111.4836,69.67725,2,2.0,1.0,0,17860.0,505.0,135000,0,1,1,0,1,1,2.0472109843944346,1.8430910017385096,5.130333768495007,4.251881454552527
91304,4,1971,82058.18022000001,124.861632,2,2.0,1.0,0,437964.6,330.0,85000,1,1,1,0,0,1,4.914121881517373,2.096429007064616,4.929418925714293,5.6414390085726565
91406,4,1981,74.3224,74.3224,3,1.0,1.0,0,9010.0,539.0,139000,0,1,1,0,0,0,1.8711197253387533,1.8711197253387533,5.143014800254095,3.954724790979063
91304,4,1979,269.4187,107.024256,3,2.0,1.0,0,315409.0,526.0,136000,2,1,1,0,1,1,2.4304277362457656,2.029482217434003,5.133538908370218,5.49887408149311
90026,0,1950,503.627163,82.776573,1,1.0,1.0,0,534544.0,3669.0,100000,0,0,1,0,0,0,2.702109145627404,1.9179074423836844,5.0,5.727983459162614
91342,4,1971,325.1605,96.61912,3,2.0,1.0,0,601471.6,968.0,240000,2,1,1,0,0,0,2.512097782697085,1.98506307764559,5.380211241711606,5.779215125849644
90034,1,1976,2514.98041919192,57.414054,1,1.0,1.0,0,185431.0,2998.0,220000,0,0,0,0,0,0,3.400534608131507,1.7590182134356254,5.342422680822207,5.268182340399127
90048,3,1973,3738.050022038568,68.74822,1,1.0,1.0,0,433451.0,3183.0,225000,0,1,1,0,0,0,3.5726451087469244,1.8372614580777855,5.352182518111363,5.636940009234595
90710,4,2004,139.3545,127.091304,3,2.0,1.0,0,494189.6,852.0,220000,2,1,1,0,0,0,2.144120997402491,2.104115835730907,5.342422680822207,5.693893601628308
90059,0,1947,360.277834,72.835952,2,1.0,1.0,0,426876.0,2600.0,230000,2,0,0,0,0,1,2.5566375430894963,1.862345801031248,5.361727836017593,5.63030173840534
90059,0,1935,750.563337,94.389448,3,1.0,1.0,0,371836.0,3200.0,200000,0,0,1,0,0,0,2.8753873464779827,1.97492344629471,5.301029995663981,5.570351434506556
91316,1,1971,37758.822544,91.97397,2,2.0,1.0,0,329670.0,2498.0,210000,4,1,1,0,1,1,4.577018442971994,1.9636649329443596,5.32221929473392,5.51807942810387
91316,1,1971,37758.822544,63.452749,1,1.0,1.0,0,119439.0,2100.0,210000,1,1,1,0,0,1,4.577018442971994,1.8024504420283425,5.32221929473392,5.077146158612649
90017,5,1962,2471.873370523416,63.17404,1,1.0,1.0,0,270903.0,2250.0,208000,0,1,1,0,0,0,3.39302621888784,1.800538651053046,5.318063334962762,5.432813814469239
91352,1,1965,2913.534813131313,64.195973,1,1.0,1.0,0,119323.0,2100.0,245000,1,1,0,0,0,1,3.4644202117381644,1.807507785721008,5.389166084364533,5.076724163790487
91316,1,1971,37747.09594031222,66.146936,1,1.0,1.0,0,114752.0,2094.0,235000,0,1,1,0,0,0,4.57688354495562,1.820509731983666,5.371067862271736,5.05976026354607
91364,4,1980,102.1933,79.89658,2,2.0,1.0,0,46443.0,818.0,210000,2,1,1,0,0,1,2.0094224235050344,1.9025281895903772,5.32221929473392,4.666920265359489
91356,0,2006,647.998425,303.235392,5,4.0,1.0,0,1395992.0,7800.0,223500,4,1,1,0,0,0,2.811573950292445,2.4817798884286333,5.349277527467955,6.1448829294864185
91342,1,1964,4763.963592,55.277285,1,1.0,1.0,0,168186.0,2034.0,204000,2,1,0,0,0,1,3.67796843378179,1.7425467040753593,5.309630167425898,5.225789841784141
91316,1,1971,37747.086650000005,91.97397,2,2.0,1.0,0,315246.0,2498.0,250000,0,1,1,0,0,1,4.576883438067084,1.9636649329443596,5.3979400086720375,5.49864958473299
91316,1,1971,37758.822544,91.97397,2,2.0,1.0,0,362058.0,2498.0,275000,2,1,1,0,0,1,4.577018442971994,1.9636649329443596,5.439332693830263,5.558778148053211
91304,0,1929,674.847392,53.512128,1,1.0,1.0,0,34330.0,2299.0,300000,0,0,0,0,0,0,2.8292055738598383,1.7284522217700216,5.477121254719663,4.53567380342575
91316,1,1971,37747.086650000005,91.97397,2,2.0,1.0,0,327725.0,2498.0,294000,4,1,1,0,1,1,4.576883438067084,1.9636649329443596,5.468347330412158,5.515509572135865
91342,4,1988,4046.86,123.189378,3,2.0,1.0,0,34451.0,1137.0,295000,2,1,0,0,0,1,3.6071181803542167,2.090573262415564,5.469822015978163,4.537201832576845
90020,1,1973,6825.838762,34.188304,1,1.0,1.0,0,196371.0,1692.0,289000,1,1,1,0,1,1,3.834156025284442,1.5338775570203274,5.460897842756548,5.293077351730422
90732,1,1987,16370.55205371901,80.268192,1,1.0,1.0,1,378316.0,2500.0,253000,0,1,1,0,1,0,4.214063325095588,1.904543480825703,5.4031205211758175,5.577854709161548
91335,1,1976,10082.347004,47.937948,1,1.0,1.0,0,204976.0,1995.0,264000,1,1,1,0,0,1,4.0035616404666445,1.680679439974021,5.421603926869831,5.311703013847247
90034,1,1972,1811.6108815427,70.234668,2,1.0,1.0,0,505688.0,2882.0,281500,2,1,1,0,0,0,3.258064920632997,1.846551533848016,5.449478399187365,5.703882647926361
91356,1,1978,7878.427048,66.89016,1,1.0,1.0,0,261120.0,2096.0,285000,1,1,0,0,0,1,3.896439517925685,1.825362234778078,5.45484486000851,5.416840137073767
91316,1,1971,9585.392596,44.872149,0,1.0,1.0,1,273409.0,1702.0,300000,1,1,1,0,0,1,3.981609905298033,1.651976869098322,5.477121254719663,5.436812806449815
90002,0,1915,603.962403,109.253928,3,1.0,1.0,0,174243.0,3200.0,262500,0,0,1,0,0,0,2.78100990438629,2.0384370600869293,5.419129307741976,5.241155339869399
