zipcode,streetAddress,homeType,yearBuilt,lotAreaValue,livingAreaValue,bedrooms,bathrooms,stories,flooring,heating,cooling,fireplaceFeatures,taxAssessedValue,zestimate,rentZestimate,sold-history,price,parkingCapacity,hasCooling,hasHeating,hasFireplace,hasPrivatePool,hasSpa,hasView,log_lotAreaValue,log_livingAreaValue
90049,11645 Montana Ave APT 229,CONDO,1973,4645.390594,79.432065,1,1.0,1.0,"['Tile', 'Wood']",['Baseboard'],['Wall'],1,699000.0,701200.0,2999.0,"[('2022-08-12', 699000)]",3050,4,1,1,1,0,1,1,3.6670222362386222,1.8999958530749823
90066,4040 Grand View Blvd UNIT 15,TOWNHOUSE,1961,11561.88645224977,78.131423,2,1.5,1.0,['Other'],"['None', 'Forced Air']",['Other'],0,512017.0,734100.0,3997.0,"[('2015-10-21', 450000), ('2005-04-07', 396000)]",3100,0,1,1,0,0,0,0,4.063028699911653,1.8928257341447219
91303,7305 Milwood Ave APT 3,CONDO,1981,90.301716,90.301716,2,1.0,1.0,[],['Other'],['Central'],0,105445.0,464800.0,3499.0,"[('2009-11-13', 85000), ('2007-04-18', 299000), ('2005-05-04', 240000)]",2800,0,1,1,0,0,0,0,1.9556960032730841,1.9556960032730841
91040,8701 Hillrose St,SINGLE_FAMILY,1945,7098.17014325069,129.320976,2,1.5,1.0,[],[],['None'],0,68036.0,759600.0,3781.0,"[('2021-06-29', 3350), ('2019-01-22', 3150)]",3600,2,0,0,0,0,0,0,3.851146405181946,2.1116689736213528
91325,17123 Roscoe Blvd UNIT 2,APARTMENT,1971,30031.67745362718,127.091304,3,2.0,1.0,[],['Forced Air'],['Central'],0,169009.0,498300.0,3170.0,"[('2011-11-28', 140000), ('2011-09-16', 151300), ('2010-07-30', 12734), ('2007-07-12', 387000), ('1996-04-22', 60500), ('1996-01-31', 58000)]",3100,2,1,1,1,0,0,0,4.477579590890547,2.104115835730907
91605,7920 Saint Clair Ave,SINGLE_FAMILY,1948,724.364691,88.25785,2,2.0,1.0,[],[],['None'],0,1155034.6,743900.0,2996.0,"[('2023-05-05', 3000)]",3100,0,0,0,0,0,0,0,2.8599572725674847,1.9457533436356573
91356,18620 Hatteras St UNIT 266,CONDO,1970,20291.765412,84.634633,2,2.0,1.0,['Tile'],['Central'],['Central'],0,283816.0,381100.0,2400.0,"[('2023-10-27', 365000), ('2019-10-11', 270000), ('2012-12-28', 150000), ('2002-01-08', 112500)]",2300,2,1,1,0,0,1,1,4.307319832905034,1.9275481153198077
90044,732 W 97th St,SINGLE_FAMILY,1927,295.338637,92.903,3,1.0,1.0,"['Tile', 'Carpet', 'Laminate']","['Wall', 'Gas']",['Wall'],0,279545.0,497700.0,3249.0,"[('2012-09-20', 80000), ('2009-12-23', 90000), ('2008-04-01', 289000), ('2005-08-29', 315000), ('2001-10-22', 105000), ('1999-10-27', 72200), ('1998-10-14', 116543), ('1997-05-21', 107000), ('1996-02-23', 106500), ('1995-01-12', 92549)]",2750,1,1,1,0,0,0,0,2.4703202662615826,1.9680297383468097
90035,1574 Glenville Dr,SINGLE_FAMILY,1929,373.841672,74.3224,1,1.0,1.0,"['Carpet', 'Wood']",['Baseboard'],['None'],0,785333.0,942200.0,3672.0,[],2745,1,0,1,0,0,0,0,2.5726877103946806,1.8711197253387533
90027,2409 Hyperion Ave,SINGLE_FAMILY,1935,442.589892,55.7418,2,1.0,1.0,['Wood'],['Forced Air'],['Other'],0,663996.0,1022000.0,2340.0,"[('2011-09-28', 550000), ('2002-08-15', 275000)]",2800,2,1,1,0,0,0,1,2.6460014911575493,1.7461809887304531
