zipcode,streetAddress,homeType,yearBuilt,lotAreaValue,livingAreaValue,bedrooms,bathrooms,stories,flooring,heating,cooling,fireplaceFeatures,taxAssessedValue,zestimate,rentZestimate,sold-history,price,parkingCapacity,hasCooling,hasHeating,hasFireplace,hasPrivatePool,hasSpa,hasView
90049,11645 Montana Ave APT 229,CONDO,1973,4645.3905939999995,79.432065,1,1.0,3.0,"['Tile', 'Wood']",['Baseboard'],['Wall'],1,699000.0,701200.0,2999.0,"[('2022-08-12', 699000)]",3050,4,1,1,1,0,1,1
90066,4040 Grand View Blvd UNIT 15,TOWNHOUSE,1961,11561.88645224977,78.131423,2,1.5,3.0,['Other'],"['None', 'Forced Air']",['Other'],0,512017.0,734100.0,3997.0,"[('2015-10-21', 450000), ('2005-04-07', 396000)]",3100,0,1,1,0,0,0,0
91303,7305 Milwood Ave APT 3,CONDO,1981,90.301716,90.301716,2,1.0,3.2,[],['Other'],['Central'],0,105445.0,464800.0,3499.0,"[('2009-11-13', 85000), ('2007-04-18', 299000), ('2005-05-04', 240000)]",2800,0,1,1,0,0,0,0
91040,8701 Hillrose St,SINGLE_FAMILY,1945,7098.17014325069,129.320976,2,1.5,1.0,[],[],['None'],0,68036.0,759600.0,3781.0,"[('2021-06-29', 3350), ('2019-01-22', 3150)]",3600,2,0,0,0,0,0,0
91325,17123 Roscoe Blvd UNIT 2,APARTMENT,1971,30031.67745362718,127.091304,3,2.0,3.2,[],['Forced Air'],['Central'],0,169009.0,498300.0,3170.0,"[('2011-11-28', 140000), ('2011-09-16', 151300), ('2010-07-30', 12734), ('2007-07-12', 387000), ('1996-04-22', 60500), ('1996-01-31', 58000)]",3100,2,1,1,1,0,0,0
91605,7920 Saint Clair Ave,SINGLE_FAMILY,1948,724.364691,88.25785,2,2.0,3.0,[],[],['None'],0,1155034.6,743900.0,2996.0,"[('2023-05-05', 3000)]",3100,0,0,0,0,0,0,0
91356,18620 Hatteras St UNIT 266,CONDO,1970,20291.765412,84.634633,2,2.0,1.0,['Tile'],['Central'],['Central'],0,283816.0,381100.0,2400.0,"[('2023-10-27', 365000), ('2019-10-11', 270000), ('2012-12-28', 150000), ('2002-01-08', 112500)]",2300,2,1,1,0,0,1,1
90044,732 W 97th St,SINGLE_FAMILY,1927,295.338637,92.903,3,1.0,3.0,"['Tile', 'Carpet', 'Laminate']","['Wall', 'Gas']",['Wall'],0,279545.0,497700.0,3249.0,"[('2012-09-20', 80000), ('2009-12-23', 90000), ('2008-04-01', 289000), ('2005-08-29', 315000), ('2001-10-22', 105000), ('1999-10-27', 72200), ('1998-10-14', 116543), ('1997-05-21', 107000), ('1996-02-23', 106500), ('1995-01-12', 92549)]",2750,1,1,1,0,0,0,0
90035,1574 Glenville Dr,SINGLE_FAMILY,1929,373.841672,74.3224,1,1.0,1.0,"['Carpet', 'Wood']",['Baseboard'],['None'],0,785333.0,942200.0,3672.0,[],2745,1,0,1,0,0,0,0
90027,2409 Hyperion Ave,SINGLE_FAMILY,1935,442.589892,55.7418,2,1.0,1.0,['Wood'],['Forced Air'],['Other'],0,663996.0,1022000.0,2340.0,"[('2011-09-28', 550000), ('2002-08-15', 275000)]",2800,2,1,1,0,0,0,1
91316,5500 Lindley Ave UNIT 217,APARTMENT,1979,3763.505477502296,152.732532,3,2.0,3.0,['Carpet'],"['None', 'Forced Air']",['None'],0,455125.0,693700.0,3968.0,"[('2016-03-07', 400000), ('2005-08-03', 440000)]",3000,2,0,1,0,0,0,1
91601,5738 Denny Ave,SINGLE_FAMILY,1975,930.702254,125.41905,3,2.0,3.0,[],['Other'],[],0,462057.0,772800.0,1884.0,"[('2012-08-29', 335000), ('2003-09-08', 359000), ('2001-07-06', 225000), ('2000-06-07', 221000), ('1999-09-16', 208000), ('1997-04-02', 135000), ('1996-12-04', 125000)]",1950,1,0,1,0,0,0,0
91411,14990 Victory Blvd UNIT 103,CONDO,1976,5461.642256,105.537808,2,2.0,3.0,['Laminate'],['Central'],['Central'],1,501330.0,543100.0,2850.0,"[('2022-06-10', 491500), ('2015-05-29', 255000), ('2001-04-26', 120000), ('1997-11-26', 49000), ('1996-10-23', 52500)]",3000,1,1,1,1,0,0,1
90043,3405 W 75th St,SINGLE_FAMILY,1947,420.85059,92.903,2,1.0,3.0,['Wood'],['Forced Air'],['None'],0,1055951.8,418400.0,1597.0,"[('2023-05-30', 2800)]",2850,0,0,1,0,0,0,0
90004,105 S Mariposa Ave #510,CONDO,2017,1900.6120725436178,100.985561,2,2.0,3.0,['Wood'],['Forced Air'],['Central'],0,693775.0,726300.0,3200.0,"[('2020-03-12', 660000), ('2017-07-11', 559000)]",3200,2,1,1,0,0,0,1
91402,8150 Hazeltine Ave,SINGLE_FAMILY,1949,526.574204,71.349504,2,1.0,3.0,[],['Wall'],[],0,335602.0,643400.0,3657.0,"[('2008-09-24', 210000), ('2008-04-29', 246000), ('2004-08-26', 306000)]",3200,1,0,1,0,0,0,0
91405,13941 Sherman Way UNIT 311,CONDO,2006,2306.3200068870524,144.92867999999999,3,3.0,3.0,['Laminate'],['Forced Air'],['Central'],0,606900.0,676700.0,3551.0,"[('2022-11-07', 299500), ('2022-01-21', 595000), ('2007-05-18', 445000)]",3600,2,1,1,0,0,0,0
90042,1011 San Pascual Ave,MULTI_FAMILY,1931,401.712572,65.0321,1,1.0,3.0,[],['Wall'],['None'],0,637042.0,607600.0,2444.0,"[('2023-03-09', 1950), ('2006-03-30', 485000), ('2000-04-03', 149000), ('1999-11-10', 87000)]",2000,1,0,1,0,0,0,0
91042,10432 Samoa Ave,SINGLE_FAMILY,1950,759.94654,148.273188,3,2.0,1.0,[],['Wall'],[],0,808860.0,917600.0,3270.0,"[('2010-04-26', 380000), ('2009-12-07', 337500), ('1994-07-15', 170000)]",3250,0,0,1,0,0,0,0
91344,17237 Kingsbury St,SINGLE_FAMILY,1959,372.262321,74.3224,2,2.0,3.0,"['Tile', 'Laminate']",['Forced Air'],['Other'],0,1227183.0,672400.0,2644.0,[],3200,2,1,1,0,0,0,1
